Party,Type,Counts,Prohibited act,Amount,Date
"Savant Plant Technologies, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(e),,09/06/2015
"Teufel Products Company, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,09/06/2015
"Savant Plant Technologies, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,09/06/2015
"Perfect Blend, LLC",Fertilizer civil penalty,5,ORS 633.366(1)(e),$468.75,08/12/2015
"Perfect Blend, LLC",Fertilizer civil penalty,7,ORS 633.366(1)(a),"$1,968.75",08/12/2015
"Brandt Consolidated, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(j),$500,08/03/2015
Lebanon Seaboard Corporation,Fertilizer civil penalty,3,ORS 633.366(1)(a),$375,08/02/2015
Oregon's Only Organics Co.,Fertilizer civil penalty,2,ORS 633.366(1)(a),$250,07/30/2015
Rock Holdings Pty. Ltd.,Fertilizer notice of violation,1,ORS 633.366(1)(c),,07/30/2015
J.R. Simplot Company,Fertilizer civil penalty,1,ORS 633.366(1)(a),$375,07/30/2015
Rock Holdings Pty. Ltd.,Fertilizer notice of violation,1,ORS 633.366(1)(a),,07/30/2015
"Oregon Global Distribution, Inc. (NPK Industries)",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,07/30/2015
"Conscious Earthworks, LLC",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,07/29/2015
