Party,Type,Counts,Prohibited act,Amount,Date
"Marco Industries, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(a),$125,01/11/2018
Emerald Harvest,Fertilizer civil penalty,3,ORS 633.366(1)(c),$750,01/09/2018
Technalfora Plant Products Ltd.,Fertilizer civil penalty,1,ORS 633.366(1)(a),"$2,500",01/09/2018
Technalfora Plant Products Ltd.,Fertilizer civil penalty,1,ORS 633.366(1)(c),$250,01/09/2018
3G Green Garden Group LLC (Emerald Harvest),Fertilizer notice of violation,3,ORS 633.366(1)(a),,01/09/2018
"Hydroponic Research, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,12/18/2017
"Precision Laboratories, LLC",Fertilizer notice of violation,,ORS 633.366(1)(a),,12/17/2017
"Lignotech USA, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,12/17/2017
"Lignotech USA, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(a),,12/17/2017
"Potentgrow, LLC",Fertilizer notice of violation,,ORS 633.366(1)(a),,12/12/2017
NutriAg Ltd.,Fertilizer notice of violation,3,ORS 633.366(1)(a),,12/11/2017
Solucal-USA Ltd.,Fertilizer notice of violation,,ORS 633.366(1)(e),,12/10/2017
"PCS Sales (USA), Inc.",Fertilizer notice of violation,,ORS 633.366(1)(a),,12/10/2017
Dragonfly Earth Medicine,Fertilizer notice of violation,4,ORS 633.366(1)(a),,12/08/2017
"Greenacres Gyspum & Lime, Inc",Fertilizer notice of violation,1,ORS 633.366(1)(a),,11/15/2017
"Greenacres Gyspum & Lime, Inc",Fertilizer notice of violation,1,ORS 633.366(1)(e),,11/15/2017
"Stumptown Nutrients, LLC",Fertilizer notice of violation,7,ORS 633.366(1)(e),,11/12/2017
"Stumptown Nutrients, LLC",Fertilizer notice of violation,4,ORS 633.366(1)(a),,11/12/2017
"Elevation Organics, Inc.",Fertilizer notice of violation,6,ORS 633.366(1)(e),,11/09/2017
"Biological Crop Solutions, LLC",Fertilizer notice of violation,14,ORS 633.366(1)(e),,11/09/2017
"Biological Crop Solutions, LLC",Fertilizer notice of violation,7,ORS 633.366(1)(a),,11/09/2017
"Elevation Organics, Inc.",Fertilizer notice of violation,2,ORS 633.366(1)(a),,11/09/2017
"Ag Specialties, LLC",Fertilizer notice of violation,1,ORS 633.366(1)(a),,09/27/2017
Clayton's Calcium Inc.,Fertilizer notice of violation,2,ORS 633.366(1)(a),,09/27/2017
"L & L Nursery Supply, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,09/27/2017
Sun Gro Horticulture Distribution Inc.,Fertilizer civil penalty,1,ORS 633.366(1)(a),"$2,500",09/13/2017
Sun Gro Horticulture Distribution Inc.,Fertilizer civil penalty,25,ORS 633.366(1)(e),"$62,500",09/13/2017
The Scotts Miracle-Gro Company,Fertilizer notice of violation,8,ORS 633.366(1)(a),,09/12/2017
The Scotts Miracle-Gro Company,Fertilizer notice of violation,1,ORS 633.366(1)(e),,09/12/2017
"JH Biotech, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,09/03/2017
"Sunlight Supply, Inc (National Garden Wholesale)",Fertilizer civil penalty,3,ORS 633.366(1)(e),"$1,125",09/03/2017
Burningham Enterprises,Fertilizer notice of violation,1,ORS 633.366(1)(a),,08/27/2017
"Diversified Waterscapes, Inc.",Fertilizer notice of violation,2,ORS 633.366(1)(a),,08/27/2017
Redwood Nursery,Fertilizer notice of violation,2,ORS 633.366(1)(e),,08/24/2017
"J.R. Peters, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,08/23/2017
"J.R. Peters, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(g),$500,08/23/2017
"J.R. Peters, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(a),$375,08/23/2017
"J.R. Peters, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(n),,08/23/2017
Douglass County Farmers Co-Op,Fertilizer notice of violation,2,ORS 633.366(1)(a),,08/22/2017
"Crop Production Services, Inc.",Fertilizer civil penalty,8,ORS 633.366(1)(e),"$3,000",07/31/2017
"Loveland Products, Inc.",Fertilizer civil penalty,3,ORS 633.366(1)(a),"$1,125",07/31/2017
"Left Coast Wholesale (RBD Online, Inc.)",Fertilizer notice of violation,1,ORS 633.366(1)(e),,07/31/2017
"Crop Production Services, Inc.",Fertilizer civil penalty,3,ORS 633.366(1)(a),"$1,125",07/31/2017
"Crop Production Services, Inc.",Fertilizer civil penalty,1,ORS 633.366(1)(j),$500,07/31/2017
"Nyco Minerals, Inc.",Fertilizer notice of violation,1,ORS 633.366(1)(e),,06/20/2017
